#{"t_start": 1746695570.1572256, "env_id": "CartPole-v1"}
r,l,t
500.0,500,59.174474
500.0,500,59.39776
500.0,500,59.543973
500.0,500,60.771412
500.0,500,60.922524
500.0,500,61.07656
500.0,500,61.232164
500.0,500,62.426249
500.0,500,62.568226
500.0,500,62.729126
500.0,500,62.886481
500.0,500,63.048185
500.0,500,64.421127
500.0,500,64.688952
500.0,500,64.89817
500.0,500,65.096308
500.0,500,66.227682
500.0,500,66.406428
500.0,500,66.549697
500.0,500,66.709584
500.0,500,67.910397
500.0,500,68.272646
500.0,500,68.525684
500.0,500,68.776229
500.0,500,70.328725
500.0,500,70.59111
500.0,500,70.796032
500.0,500,70.985531
500.0,500,72.409098
500.0,500,72.706668
500.0,500,72.928212
500.0,500,73.093363
500.0,500,74.459797
500.0,500,74.752884
500.0,500,75.097363
500.0,500,75.28614
500.0,500,76.538027
500.0,500,76.810465
500.0,500,77.050736
500.0,500,77.23301
500.0,500,78.56816
500.0,500,78.933089
500.0,500,79.168884
500.0,500,79.336713
500.0,500,80.639721
500.0,500,80.892436
500.0,500,81.107251
500.0,500,81.28113
500.0,500,82.607009
500.0,500,82.866492
500.0,500,83.114311
500.0,500,83.313709
500.0,500,83.505778
500.0,500,84.942756
500.0,500,85.151253
500.0,500,85.359354
500.0,500,85.547467
500.0,500,86.969622
500.0,500,87.198371
500.0,500,87.442041
500.0,500,87.671106
500.0,500,88.973743
500.0,500,89.214222
500.0,500,89.418422
500.0,500,89.618148
500.0,500,91.043573
500.0,500,91.322197
500.0,500,91.511404
500.0,500,91.688168
500.0,500,93.073533
500.0,500,93.377816
500.0,500,93.566623
500.0,500,93.739704
500.0,500,95.309445
500.0,500,95.596026
500.0,500,95.795089
500.0,500,95.983754
500.0,500,97.434957
500.0,500,97.588662
500.0,500,97.721502
500.0,500,97.843505
500.0,500,97.959928
500.0,500,98.097932
500.0,500,98.224182
500.0,500,98.375603
500.0,500,98.52188
500.0,500,98.628503
500.0,500,98.729542
500.0,500,98.830773
500.0,500,98.938486
500.0,500,99.059756
500.0,500,99.176775
500.0,500,99.298684
500.0,500,99.404272
500.0,500,99.515961
500.0,500,99.630266
500.0,500,99.739891
